longitude,latitude,value
-47.68350431646499,-21.5511534788879,-0.10401313006877899
-47.68340921582735,-21.5511534788879,-0.10758998990058899
-47.68331411518971,-21.5511534788879,-0.10130360722541809
-47.683219014552066,-21.5511534788879,-0.0923968106508255
-47.68312391391442,-21.5511534788879,-0.0816214308142662
-47.68302881327678,-21.5511534788879,-0.08035024255514145
-47.68293371263914,-21.5511534788879,-0.08316057920455933
-47.6828386120015,-21.5511534788879,-0.08056575804948807
-47.68274351136385,-21.5511534788879,-0.07747692614793777
-47.68264841072621,-21.5511534788879,-0.07374806702136993
-47.682553310088565,-21.5511534788879,-0.07000662386417389
-47.68245820945093,-21.5511534788879,-0.06904595345258713
-47.682363108813284,-21.5511534788879,-0.07258502393960953
-47.68226800817564,-21.5511534788879,-0.07438885420560837
-47.682172907537996,-21.5511534788879,-0.07636256515979767
-47.68207780690036,-21.5511534788879,-0.07869693636894226
-47.681982706262716,-21.5511534788879,-0.07852935045957565
-47.68188760562507,-21.5511534788879,-0.07804545015096664
-47.68179250498743,-21.5511534788879,-0.07572881877422333
-47.681697404349784,-21.5511534788879,-0.0735437199473381
-47.68160230371215,-21.5511534788879,-0.07521629333496094
-47.6815072030745,-21.5511534788879,-0.07325008511543274
-47.68141210243686,-21.5511534788879,-0.07251044362783432
-47.681317001799215,-21.5511534788879,-0.08135687559843063
-47.68122190116158,-21.5511534788879,-0.09491617232561111
-47.681126800523934,-21.5511534788879,-0.09871244430541992
-47.68103169988629,-21.5511534788879,-0.0985981673002243
-47.680936599248646,-21.5511534788879,-0.09605169296264648
-47.680841498611,-21.5511534788879,-0.09497540444135666
-47.680746397973365,-21.5511534788879,-0.09415629506111145
-47.68065129733572,-21.5511534788879,-0.09195731580257416
-47.68055619669808,-21.5511534788879,-0.08576907962560654
-47.680461096060434,-21.5511534788879,-0.09031469374895096
-47.68036599542279,-21.5511534788879,-0.09296393394470215
-47.68027089478515,-21.5511534788879,-0.09726355224847794
-47.68017579414751,-21.5511534788879,-0.09375389665365219
-47.680080693509865,-21.5511534788879,-0.09264551848173141
-47.67998559287222,-21.5511534788879,-0.10929370671510696
-47.679890492234584,-21.5511534788879,-0.10806543380022049
-47.67979539159694,-21.5511534788879,-0.08536961674690247
-47.679700290959296,-21.5511534788879,-0.07115854322910309
-47.67960519032165,-21.5511534788879,-0.06614051014184952
-47.67951008968401,-21.5511534788879,-0.0663815587759018
-47.67941498904637,-21.5511534788879,-0.06731276214122772
-47.67931988840873,-21.5511534788879,-0.06751404702663422
-47.67922478777108,-21.5511534788879,-0.06245214492082596
-47.67912968713344,-21.5511534788879,-0.06302431225776672
-47.679034586495796,-21.5511534788879,-0.05342381075024605
-47.67893948585816,-21.5511534788879,-0.05239439010620117
-47.678844385220515,-21.5511534788879,-0.05554035305976868
